,text
985,"Escuché a mi amigo, Fernando Orozco, quien vive en la colonia “Jardines del Pedregal”, un tuxtleco como muchos, trabajador y echado para delante. Todos, igual que él, tenemos una historia que contar, experiencias y lecciones de las que debemos aprender y retos por enfrentar. https://t.co/iyiuixrTwK"
986,"CDI Capacho Independencia.Estado Táchira. Limpieza y embellecimiento en el CDI 
@CDI_capacho
#HeroesDeLaSalud
#ACubaPonleCorazon
#CubaPorLaVida
@cubacooperaven
@MINSAPCuba
@japortalmiranda
@PardoRegla https://t.co/5I2WCnWZ62"
987,"@WilliamClaros17 @critico2_ He visto que aumentan el precio y colocan la tasa bcv. Si valía 1$ ahora vale 1,5 o 2. Nadie va a trabajar para perder."
988,"#VacúnateSinCita «Bolívar renace con nosotros, vamos a convertir a este estado en potencia y ustedes van a acompañarme en este camino, ustedes son la generación de oro de Chávez y ahora de Nicolás Maduro». “Encuentro de las Fuerzas Revolucionarias Juveniles del estado Bolívar”. https://t.co/RlMVqptLny"
989,"Beisbolistas en estado de ebriedad provocan choque carambola en Armando Treviño.
https://t.co/H9BxCgjd1a
#PiedrasNegras #Policiaca https://t.co/WRh7Fg5DuY"
990,"#Entérate ||  A partir del primero de octubre circulará el billete de 50 bolívares de la Nueva Expresión Monetaria. En su anverso y reverso se encuentran estos elementos de seguridad. ¡Conócelos!

#NuevaExpresiónMonetaria #BCV #LasSancionesSonUnCrimen https://t.co/PlVktVJR7G"
991,@elrodolfo1 Por cobrar a tasa distinta del BCV y remarcaje de precios.
992,@ariamsiap_ Punto fijo es un beta jajaja
993,Daniel_RiosVE: Caso Gabby Petito: revelan el informe completo de la autopsia de la joven https://t.co/ntz1lCUr8V #DanielRiosTeInforma #Valencia #Carabobo #Venezuela
994,Esta es la primera de hoy #31Marzo del diario #NuevoDia del estado #Falcon https://t.co/YbTdfDfbZH
995,@YormanMonteroD @lialegre3065 @rafaellacava10 @avilaelguerrero @ZODI45_Carabobo pequeñas bodegueros ellos son victima de los mayoristas.
996,"@BcodeVenezuela @rmfinanzas Buenas tardes, me sale esto reflejado y no me dan respuestas, que pasa? Por que están quitándome dinero? https://t.co/wNPhCsL9G3"
997,"@juanpreverol @CaraotaDigital El hecho que quede en medio de la nada no debería justificar que no tengan insumos... Y no se deje llevar por eso, aquí municipio Guacara- Carabobo el hospital está igual sin nada. Y así en todo el país.😟"
998,"#NacionalesET Los estados Miranda, La Guaira, Carabobo y la capital del país estarían en una tercera ola de contagios
https://t.co/TNfgvteXUx https://t.co/rekOx6atGB"
999,"O me responde a segundos de que le hable o me responde dos horas después, no hay punto fijo."
1000,"Culpa de la oposición falta de #agua y apagones eléctricos en #Upata estado #Bolivar. Saboteo, terrorismo, conspiración y plan desestabilizador denunció alcaldesa de Piar en cadena radial este #27Sep."
1001,"@rumillaqta ... el fujimorismo sabe muy bien de donde sacarle dinero al estado y como hacerlo es su ""virtud"", tiene 4 satélites en el congreso y también su oficina de empleos en plaza Bolívar...por eso no quieren q su status quo se altere y seguir ""viviendo"" del estado"
1002,"Contagios sin control
La nueva ola de contagios por COVID-19 en Venezuela empieza a extenderse. De acuerdo con el boletín de este 30 de septiembre, la enfermedad registró un pico de casos en estado Bolívar."
1003,"@eclecticomega @sisifrabeta Las reservas del BCV son pocas.
Además, la venta de ésas divisas solo es para su círculo. 
Por ahora es sólo un espejismo, Igual ningún precio de producto lo moverán seguirán diciendo hoy a BCV mañana a paralelo, valor de reposición, velocidad del bolivar y todas esas historias"
1004,"@IsFreyax FREYA VISTE LO DE BERTUCCI, QUE BOLAS CON ESE TIPO
FUE A CARABOBO A QUE LACAVA LE DE UNA LIMOSNITA"
1005,"Espectacular vista de la Península de Paraguaná, en el estado Falcón - #Venezuela desde la estación espacial.

#Peninsula #Istmo #EspacioUltraterrestre #EstacionEspacial #Geomorfologia  #Morfodinamica https://t.co/KiJ9LgNAVV"
1006,"QUIEN CREA Q LA REVOLUCION ES UNA MODA ESTA MAS PELADO Q RODILLA DE CHIVO. LA REVOLUCION NO ES MODA, LA REVOLUCION ES UNA RAZON D VIDA, ES UN NUEVO ESTILO D VIDA, Y CON ELLA VAMOS HACIA LA REIVINDICACION D NUESTRA DIGNIDAD, PERDIDA POR CULPA D PAEZ, GOMEZ Y LAS PUTAS D PUNTO FIJO"
1007,"Para los que andan tratando de lavarle la cara a Víctor Clark porque sale junto a Chiche Smith, diciendo que el gobierno fue quien lo capturó, les recuerdo que Pablo Escobar, entregaba y mataba a sus socios."
1008,"The objective was not to remove the emergency orders, but it was an attack on a specific provision required things like contactless services etc that were (we said) inherently discriminatory in the absence of any other distinction between Arawak Cay vendors and others. (4/5)"
1009,"@GNBCmdtGral @GNB_tachira @PresidencialVen @dhernandezlarez @PrensaFANB @libertad003 @GNB343VDLP @GnbGaranteDePaz @dcabellor @ConCiliaFlores @delcyrodriguezv @LopezvargasR 💥Lucha Frontal contra el Tráfico de Drogas  #19Ago #GNB #CEOFANB
#ChávezPorSiempre
#GNByPuebloDeChávez
#YoSoyFANB
.@NicolasMaduro .@GNBCmdtGral"
1010,COVAX espera segundo pago de Venezuela para la asignación de vacunas https://t.co/DyGxkqQH3e
1011,"Los ingresos de Piedad Córdoba tienen varias fuentes asi:
Aportes de las FARC Y ELN como activista pilitica
Aportes del régimen de MADURO
Mina de oro estado Bolívar de Venezuela
Es un personaje que no tiene que preocuparse por los pasajes o el daño del carro https://t.co/NFaXVjmvf9"
1012,"@Banesco buenas noches, tengo rato tratando de entrar en la plataforma del banco y no he podido, necesito realizar un pago y es imposible, tanto por computador, como la aplicación móvil"
1013,BCV actualiza tasa del dólar oficial (+Monitor) https://t.co/Sh5LWG4jjg
1014,Una pieza del cohete de SpaceX aterriza en una granja del estado de Washington: Un granjero estadounidense encontró parte del Falcon 9 en el campo. https://t.co/7dMP5Ns2UH https://t.co/a0aAdWvzgW
1015,"La seguridad de nuestra Patria se garantiza en la perfecta union cívico militar policial por la Paz.
@NicolasMaduro @vladimirpadrino @dhernandezlarez  @Milicia_B1 @libertad003 @PrensaFANB @REDICentral_ @ZODI45_Carabobo https://t.co/t9JGO38sVn"
1016,2. La Coordinacion de Mision Ribas Regional del Estado Falcon dona a la @ComunidadP_Coro material educativo y a su vez Semillas para articular #PlanSiembraPenitenciaria @mirelct @psuvaristobulo @GobVictorClark @MarelysCastro21 @IsabelG_DGREP
1017,Yo queriendo ir a Chichiriviche y no tengo dinero ni para ir a una playa de aca 🤡
1018,Dejó pura miseria. No creo que descanse en paz.
1019,"Por cierto, para que vean lo escoltado estas elecciones ya hay gobernaciones y Alcaldías que fueron entregadas al sucesor del PSUV. Y de paso investiguen señores periodista, aquí en Carabobo según se comenta y chismorreo el calle a VOX POPULIX más de un funcionario desde Alcalde"
1020,"@MSVEnLinea @CarnetDLaPatria @MSVEnContacto Valencia, Edo Carabobo
No me llega económica familiar https://t.co/BRDuEMozJU"
1021,@RichardMendezTV Campeones mundiales y dos campeonatos de club suramericanos donde estuvo involucrados grandes salinistas del estado tachira. Aquí en SC es una pasión
1022,"@MSVEnLinea @CarnetDLaPatria @MSVEnContacto @NicolasMaduro @MSVCarabobo10 @PresidencialVen @ViceVenezuela @drodriven2 @jaarreaza @JeanMGProject @Mippcivzla @laradiodelsur 🔴#MSVEnLinea || Protección social || Escaneo del @CarnetDLaPatria: 

➡️Mención @MSVEnLinea | @MSVEnContacto 
➡️Nombre:DENNIS HERNANDEZ
➡️Cédula: V-12.427.171
➡️De donde nos escriben: TUCACAS PARQUE NACIONAL MORROCOY ESTADO FALCON

@NicolasMaduro ¡AQUÍ NADIE SE RINDE! 🦇"
1023,@TarekWiliamSaab Señor Fiscal @TarekWiliamSaab nos urge  una audiencia con usted por estar afectados por procedimientos inadecuados en la Fiscalía  somos del Estado Bolívar y tenemos más  de 30 días  tratando  de hallar justicia  en Caracas
1024,"#RT @seniat_falcon: #FelizViernes | Buen día amigos contribuyentes, nuestras oficinas están dispuestas a atenderlos #SeniatTrabajaParaTi @SENIAT_Oficial @ASIST_SENIAT @EGALLARDOB https://t.co/hVtIseAK4R"
1025,"Alerta mundial en peligro extremo el Parque Nacional Morrocoy.
Imágenes satelitales recientes señalan que la refinería El Palito continúa derramando crudo en el Golfo Triste.
  https://t.co/jNLCiEjAfV https://t.co/pkrpM0U7cM"
1026,@Bancaribe @SudebanInforma @BCV_ORG_VE el día de ayer bancaribe en horas de la tarde me hizo el reintegro correspondiente por el débito erróneo 🙏🏻✨ agradecida por tomar en cuenta mi caso y atenderlo. Dios les bendiga ♥️.
1027,"CDI Panamericano estado Táchira 
Más que médicos, serán celosos guardianes de lo más preciado del ser humano; apóstoles y creadores de un mundo más humano
#HéroesDeLaSalud #ACubaPonleCorazón #CubaPorLaVida @cubacooperaven @MINSAPCuba
@japortalmiranda @PardoRegla @cubacooperaVTAC https://t.co/xHxHc6vy9u"
1028,@soydanycosmo Saludos Dany un Placer mi Nombre es Fernando como podemos Organizarnos aquí Carabobo de la mano del Gobernador con los emprendedores como los está realizando el Gobernador de Miranda
1029,"Si pública es la mujer
Que por pvta es conocida
Aquella más corrompida
REPUBLICA debe ser.
Y siguiendo el parecer
De esta lógica absoluta
Todo aquel que se reputa
De Republica ser hijo
Debe ser, a punto fijo
Un HDLGP."
1030,"MÁXIMO COMPROMISO PATRIO! 👊🇻🇪 #17Oct 🎥 El MG Juvenal Fernández López @GNBCmdtGral, realizó visita en el Comando de Zona @GNB41_CARABOBO acompañado del Cmdte de Zona GB @Rivera_bastardo
#GNBpaclaosuna213 
#LaVerdadSiempreTriunfa
#PuebloYCEOFANBVenceremos https://t.co/vqXk94Bfzb"
1031,"Carabobo | Ampliación de la avenida Pedro Melean de Valencia suma 11 años paralizada

https://t.co/OmHN5GJPEY"
1032,En #PiedrasNegras este infeliz hizo algo similar y el alcalde @claudiobresofic no hizo NADA https://t.co/4oYVp9lxvC https://t.co/Btb2P7teKI
1033,"lmurNta venga a bella vista parroquia el paraíso nosotros también somos Caracas tenemos problemos graves de aguas servidas calles destruidas árboles amenazando nuestras casas y nadie nos ayuda , por fa visítenos y ayúdenos ."
1034,"Buenos días @GuerriFem_78 te deseo un Fabuloso día. Somos Hij@s de Bolívar y Chávez; Nuestra labor tiene un propósito más elevado, su fin es conservar nuestro Legado y consolidar la Patria Grande en un Estado de igualdad en la Diversidad

Nosotros Seguiremos Venciendo por Siempre https://t.co/u6JUwJefqg"
1035,"Concejal de Cárdenas rechaza
posición del Hospital San Antonio

te invitamos a leer esta y muchas más informaciones en nuestro portal digital 👇
https://t.co/Rqm1hiAjQF

#25Ago #tachira #lasPrimicias #Concejal #Cárdenas #rechaza #posición #HospitalSanAntonio #RonyGuerrero #dinero https://t.co/uJLolFwUiI"
1036,"que significa persona politicamente expuesta en la actualizacion de datos, que se debe colocar alli, para poder avanzar en la actualizacion."
1037,@NoticiasFalcon Vainas veréis diría Don Quijote...
1038,"Únete a nuestro grupo de Telegram!!! Escribe al privado y dejanos tus datos y los contactamos

SOLO PAREJAS NO SINGLES

solo parejas de los estados Carabobo, Aragua, Miranda, La Guaira, Dtto Capital https://t.co/S0lingmYFK"
1039,#VotaNaranja #VoluntadPopular #Carabobo https://t.co/g5zP2EGUxu
1040,"Centinelas del @GNB41_CARABOBO, realizaron práctica y demostración de orden público para así asegurar el bienestar 
del pueblo #Carabobeño. #GNBCaraboboSeguro
#12Oct
#RebeldíaIndígena
#PuebloUnidoyGNBInvencibles 
.@PresidencialVen
.@PrensaCmdteGral
 https://t.co/vbSn73swy8"
1041,"#Nacionales| Gobernadora del Táchira: No tener primarias es una conducta similar al chavismo

Lee más #ElCandelazo 🔥 
👉https://t.co/wxMyPZID7G

#7Sep https://t.co/Ppv170mKTq"
1042,"@BCV_ORG_VE  realiza  segunda intervención en las mesas cambiarias para intentar frenar alza del dólar paralelo,#30oct**  https://t.co/NTwst5vTlX"
1043,Lo importante es divertirse 🤭 @Carabobo_FC
1044,"@leopoldo14 @Kevin_VivasL Querido @leopoldo14 . En Carabobo vivimos un gran año. Jugué casi todos los partidos, hasta que me rompí el ligamento cruzado a falta de cuatro fechas para terminar el T.Apertura. Ese día éramos lideres. Ah, y no fui para hacer goles, pero ese día aporte un gol. Abrazo, campeón. https://t.co/tdEPe9QyYB"
1045,"La alimentación no se detiene en Táchira, en Agosto, un total de 370 mil 459 familias recibieron su protección alimentaria, en los 29 municipios de la región andina.
#ClapTachiraSoberaniaAlimentaria

@NicolasMaduro
@FreddyBernal
@BermudezJoseA
@Juntosxtachira1 https://t.co/thSg9PbmWc"
1046,"BCV realiza nueva intervención cambiaria este #11Oct y el dólar paralelo abre contenido en Bs.4,06 https://t.co/2VZhRjyrOz."
1047,"‼️CUIDADO‼️Persona sospechosa tomando fotos de casas en Fuentes del Pedregal y entró a un edificio haciéndose pasar por inquilina, para tomar información de los que ahí viven.                                 ALERTA TODOS!!! https://t.co/8x5Bfy9Lsd"
1048,"Ellos controlan PDVSA, El BCV y los medios de comunicación, ¿Pero la culpa siempre es del imperio, DolarToday, o Maria Corina? ¿Tu realmente crees que DolarToday controla la economía de todo un país desde un app? ¿en serio? https://t.co/cAHupFL8Ic"
1049,@RedRadioVe @Soy_yo14 @BCV_ORG_VE Coño por fin los ineptos como que van a comenzar a trabajar. Gloria a Dios!!!
1050,Daniel_RiosVE: La Casa Blanca: los puertos de Los Ángeles y Long Beach tendrán servicio 24/7 https://t.co/3MUxN7EoeU #DanielRiosTeInforma #GacetaCarabobo #Carabobo #Venezuela
1051,"@NicolasMaduro  llamó a la consciencia en los próximos 7 días de cuarentena , para los estados Miranda, La Guaira, Carabobo y Caracas, Si vamos avanzando en la vacunación y nos cuidamos, tu me cuidas, yo te cuido y nos cuidamos todos..!😷😷
#AlexNosUnioMas
https://t.co/wS6eH0pqsM"
1052,"#Carabobo En Los Guayos Renace la Esperanza con Jaime Torres Alcalde. #UnionProgresoLosGuayos
#UnionProgresoCarabobo Carabobo @ArmandoAmengual Gobernador.! https://t.co/HrP1pyLHY5"
1053,"Plan Carabobo 200 impulsa y dignifica el Centro Histórico de Coro en Falcón  

#PrevenciónEnFamilia

https://t.co/5wQDGeQrcH https://t.co/qWXWdAJb2u"
1054,#08Oct Seguimos incrementando nuestros #PieDeLucha  para defender nuestra revolución @NicolasMaduro @vladimirpadrino @wistohor @ADI_Tacarigua @ZODI45_Carabobo @Apdi_losguayos @Apdi_losguayos @luis15candanga https://t.co/AQ0DWTvvza
1055,"#SEVENDE TERRENO DE 570M2 EXCELENTE UBICACIÓN PARA USO COMERCIAL Ó RESIDENCIAL
#MLYNER

WhatsApp 04265613885

#Compra #Vende #Inmueble #Alquila #Hogar #PuntoFijo #Paraguana #Carirubana #PuntaCardon #Falcon #alquiler #Venezuela Masdival Rafael Rangel Buen Pastor Maite Delgado https://t.co/Ta5NmrYUW5"
1056,"@Hectorpcho @SARGENTOCHALA @DirectorPolicia El juez federal Edwin Torres, en su fallo, aseguró que los actores del Estado colombiano apoyaron las operaciones del Bloque Central Bolívar (BCB) —liderado por 'Macaco'— ""mediante el intercambio de inteligencia, armas y uniformes militares""
~~~
https://t.co/RiVn5v9KbM"
1057,"#familia ❤️🏡🏘️ en Rubio, Estado Tachira https://t.co/SJFV027VTH"
1058,#NACIONALES Detienen a comerciante tachirense que golpeó a un anciano por hurtar una compota https://t.co/hhnQKWjcdB
1059,Ataque tirrorista!! Fue que le quitaron el tirro a los cables del banco de Venezuela...
1060,"#Táchira Un hombre de 35 años de edad, fue detenido en la localidad de Táriba, en el municipio Cárdenas por Politáchira quien se hacía pasar por funcionario de la GNB adscrito al Conas para exigir divisas a comerciantes de esta jurisdicción.
#18Ago 
https://t.co/WLj7pl2aWM"
1061,"#26abr Hidrofalcón inició plan de emergencia para suministrar agua en Tucacas #Regiones

https://t.co/bz2TRHnfL8"
1062,"🇻🇪💵 ECONOMÍA | Venezuela: Precio del dolar hoy 25 de octubre de 2021 - 9:00AM

BCV ➡️ Bs/USD 4,23
Today ➡️ Bs/USD 4,32
Monitor ➡️ Bs/USD 4,33

📰 #NoticiasWBDigital
Síguenos en Instagram 👉🏽 https://t.co/RvKPHn8uyg"
1063,"@onapre_oficial Señores ONAPRE, Los trabajadores de CORPOSALUD Táchira, luchamos incansablemente por la operatividad en las áreas administrativas y asistenciales. Por ende, solicitamos la aprobación de recursos: pago HOMOLOGACION ACTA CONVENIO del 17-6-2021"
1064,"A ver te hago un resumen, yo he estado por la zona con seguridad privada (colectivos chavistas del 23 de Enero) hace como 4 años... Las minas están en el arco minero del estado Bolívar. Para llegar pasas por Ciudad Bolivar, en esa ciudad ya se acepta el oro como moneda de pago... https://t.co/lUOlYBqQpc"
1065,#19Feb Hoy la Vicepresidencia de la Clase Obrera del PSUV en Jornada Virtual con los Equipos Promotores Bicentenarios de los Trabajadores y las Trabajadoras del Estado Falcón rumbo al Encuentro Nacional a realizarse el 23 de Febrero. @SoyRevolucion4 @VicePSUVObrera @Mincyt_VE https://t.co/Ap1q45VxX2
1066,"One thing I love about my Arawak ancestry is being Turtle Clan. So the Turtle Clan were a ruling clan NOT because of warrior skills, but for being people who “healed” and “kept records.” I mean not one ounce of this incarnation is an accident, not one."
1067,@GNBCmdtGral @GNB41_CARABOBO @Rivera_bastardo Juntos con el pueblo
1068,@soldefreitas_ @LagunaPower_ Debe ser algo así como quemar/eliminar el BCV JAJAJAJAJA
1069,"@cmmzodic @NicolasMaduro @ZODI45_Carabobo @dhernandezlarez @wistohor #MiliciaBolivariana en victoria
#PieDeLucha
#HistoriaDeLaMiliciaBolívariana
@Nicolasmaduro
@vladimirpadrino
@dhernandezlarez
@Libertad003
@PrensaFanb"
1070,Esos centrales del Carabobo hoy están vueltos locos y desordenados
1071,"@TheRed_Shadow_ Red, en agosto del 76...una pepsi familiar (las de vidrio), un bolívar de pan francés (ocho), dos bolos de mortadela (la de la pimientica, 12 ruedas) y una barrita de mantequilla, pa' cuatro panas hambrientos a la orilla 'e la playa en Puerto Píritu, y creo que sobró un real."
1072,@Banesco @Keniapita Yo estoy ahora pagando por @MercantilBanco porque me estuvo sucediendo lo mismo y no se resolvió.
1073,""" El desayuno de los lunes, 
se toma mirando un punto fijo, y pensando:...
¿qué es lo que hiciste mal que no naciste millonario?""😂😂😂 https://t.co/y69Jk610I9"
1074,Primero Justicia Táchira acusó a Laidy Gómez de representar a “los partidos CLAP y las tarjetas secuestradas” https://t.co/tCJ8NIE0bO
1075,"Unidad, trabajo y compromiso con el legado de quienes construyeron la Revolución es el sentir de los colaboradores de la Misión Médica Cubana en Venezuela Estado Bolívar. #Aniversario61CDR  #CDRCuba #SomosDelBarrio  #ACubaPonleCorazón @cubacooperaven @AdanVillavicen5 @AnayansyPR https://t.co/6iWdf1TQEy"
1076,Consejo de Estado mantiene la investidura a Gustavo Bolívar al no haber incurrido en falta legal https://t.co/9RvvfntkbS
1077,"El cambio es a partir del último d este mes  y hoy no e podido tener acceso a banca en línea,, no creo q sea  falso!"
1078,"Se pudiera decir hoy comenzó la campaña en el #Tachira.
Esta candente y la basura sirvió de combustión"
1079,"Mañana estaré disponible desde la 1:00 pm a 9:00 pm @BuscoExcortMty 
Me extrañan???? 🆘🆘🆘🙋🏻‍♀️
Pueden agendar desde hoy 
💳 cuento con terminal 
💳también me pueden pagar con transferencia
ATM 
Súper motel 
Pedregal 
Mirador 
Plaza 2020 
Begoña 
Marbella (Santa catarina) https://t.co/7FYwaycq26"
1080,Pancho Pérez Lugo: Convertiremos a Naguanagua en el Emporio Comercial y Agroturístico de Carabobo https://t.co/6wO4XGZ9SY a través de @Carabobo es Noticia
1081,@luis_villegasr @sundde_ve @mincomerciove @NicolasMaduro @delcyrodriguezv @Mippcivzla @almacaracas @BCV_ORG_VE @JRioboVTV @ViceVenezuela @JuventudPSUV @nicmaduroguerra @PresidencialVen @EneidaLayaPsuv El precio del pasaporte en casi bs 1000 no le parece que debe ajustarse a un costo más asequible a todos?  Cómo lo paga un pensionado?
1082,"@ReporteYa @churuguara Que cosa de loco es la Basura de gobierno el que hace el bien va preso .,y los que anda estafando como los militares y todos su basura lo felicitan"
1083,@loader2019 @PetroDivisa Reportes del BCV..
1084,@NASA @NASASocial what is that gas/liquid coming out of the nozzles at the base of the Falcon 9 rocket?
1085,"@BcodeVenezuela No trabajan en radical, se cae la plataforma y pasan 15 días cerrados... Y de paso ""feriado""! No digo yo!"
1086,@alexarzuaga2345 buena cabure
1087,@ashleycarolps Paraguana-Venezuela. Zona playera
1088,#Comunicado Vente Joven Carabobo: Tibisay Lucena es parte de la destrucción de los procesos democráticos del país https://t.co/kmTnEA5fMr https://t.co/UVmDmz2EJW
1089,"Q hermoso Gracias a Dios. Y nos recupere todo el tachera q es lo q necesitamos. Porq de verdad después de las guarimbas nos acabaron esta ciudad, como si la pobre tuviera la culpa. Jamás olvidaré el tanque de guerra q duró tantos años en la avenida Carabobo q desde los años 60 no se quien colocó ese tanque. Sr. Bernal gracias por trabajar por mi tachera. No se canse pónganos bonita la ciudad por favor q él tachira necesita el amor de todos los tachirences. La ciudad más linda de Venezuela. "
1090,"Llevan 6 días sin suministro de agua urbanizaciones de Naguanagua, Estado Carabobo, mientras tanto, @Hidrocentro2011 no informa ¿hasta cuando? @rafaellacava10"
1091,"@PetroDivisa Paño de agua fría el del bcv. El efecto resorte en cualquier momento volverá. No necesitan poder político, buscan ganar dinero. Poder económico."
1092,Daniel_RiosVE: Documentos: acusado de asesinato creía que el gobierno “envenenaba” a través de las vacunas https://t.co/zgqZ0zd5Wg #DanielRiosTeInforma #Valencia #Carabobo #Venezuela
1093,Bertucci promete «Plan Gas Para Todos» con bombonas antiexplosivas si gana la Gobernación de Carabobo https://t.co/xjsbwNPzif
1094,"@periclesdavila1 @saltillotwit @ReyesFloresH @PRICoahuila Y CÒMO ES QUE EN EL RESTO de los puntos de vacunaciòn se realizò la inmunizaciòn sin contratiempos, bien organizados? DE PLANO ALGUIEN QUIERE DESCOMPONER LAS COSAS.
#Coahuila #Saltillo #Torreon #Monclova #Sabinas #Acuña #Piedrasnegras #covid #adultosmayores #CDMX #Mexico"
1095,Hermosa fotografía de nuestra península de Paraguaná..!! https://t.co/bvNFcQoSZI
1096,A este paso me voy a graduar en la unefm primero de payasa antes que de médico.
1097,"CAPTURADO lider de banda, por #GNB del #215TachiraGNB cuando intentaba huir hacía Colombia por San Antonio del Táchira.

#23Ago #GNB #CEOFANB
#SemanaRadicalConsciente
#GNBCuidaDeTiYTuFamilia
#YoSoyFANB
.@NicolasMaduro
.@vladimirpadrino
.@GNBCmdtGral 
https://t.co/tH73yGM1fL"
1098,"@CorpoelecInfo Y este número aplica para todo el país o solo un estado, donde vivo tenemos deficiencia de electricidad ya desde casi un mes y todas las noches hay apagón, San Félix Edo. Bolivar Urb. Jose Gregorio Hernández"
1099,@SacmexCDMX seguimos sin agua en Jardines del Pedregal
1100,"#18Oct Seguridad en Centros Educativos! Funcionarios
@policiafla01 Realizan recorrido por las instalaciones de la Universidad de Carabobo en @LinaresPotenci1 manifestando todo está sin novedad y cumpliendo semana radical @NicolasMaduro @Zamora_PSUV #EpaVamosACuidarnos https://t.co/083wg64Fii"
1101,"EFRINSURCA - PUNTO FIJO, VENTA DE REPUESTOS DE  REFRIGERACIÓN EN GENERAL. DOMESTICA, INDUSTRIAL, COMERCIAL Y AUTOMOTRIZ #REFRINSURCA TODO EN REFRIGERACIÓN EN UN SOLO LUGAR  #PRECIOS INSUPERABLES #LAS MEJORES MARCAS #REPUESTOS ORIGINALES #COMPRESORES DE NEVERA https://t.co/kJsIwqFIDw"
1102,"Buen trabajo camarada @marcoscamposf_ !

Cuentas con nosotros la Clase Obrera Psuv San Diego, Carabobo #TrabajoEnEquipoTiunfoSeguro #SanDiegoTieneConQué #VenezuelaTieneConQué Venceremos! https://t.co/RZRhAYHuYj"
1103,"La tasa del BCV se cotizó este 4 de octubre en Bs. 4.18, pero en los distintos comercios de Sabana Grande, en #Caracas, recibían la moneda norteamericana por montos que iban desde Bs. 4.14 hasta Bs. 4.80. Te contamos qué pasó con Traki: #5oct https://t.co/stvtvA96f6"
1104,@EAristeguieta Aquí en Venezuela votamos pero no sabemos si el CNE respetará los resultados. En el Estado Bolivar ganó @AndresVelasqz la gobernación y no le reconocieron . Le entregaron a su candidato del PSUV . Hoy vamos a elecciones nuevamente pero pedimos al estado unidad para ganar espacios
1105,"#ENTÉRATE📣| El #28Oct inicia el XV Festival Mundial de Poesía de Venezuela 🇻🇪 que reunirá a los 5 continentes en el grito libertario de #Carabobo a 199 años del poema: Mi Delirio Sobre el Chimborazo, del Libertador Simón Bolívar 

#VacúnateEvitaElContagio https://t.co/Ki0SKZjQJQ"
1106,"#DelegadaAN | Dip. @sirit_eliezer: ""No hay lugar a duda que el régimen avanza en sus pretensiones en construir una hegemonía comunicacional a lo largo y ancho de Venezuela""."
1107,"#ÚltimaHora #Venezuela Freddy Bernal, diputado y candidato de la revolución chavista, en el estado #Táchira, expresó en una rueda de prensa la posibilidad de adoptar el uso del peso colombiano como moneda oficial en este país. 
#ATNdigital https://t.co/LunsfefcYs"
1108,"El distribuidor Los Totumos en el km 31 de la ARC, adyacente al relleno sanitario La Bonanza y que representa la entrada a #VallesDelTuy 

Coloquialmente los conductores de Aragua, Carabobo y otros estados, se refieren a este como la entrada o distribuidor de #Charallave. https://t.co/FvEy9bPaRa"
1109,Tienen que llevar toda la plantilla del deportivo Tachira representan mejor hasta con la fanaticada
1110,Fallas del servicio eléctrico son cada vez más frecuentes en todo el estado Bolívar https://t.co/8s2vcSHzSX vía @DiarioPrimicia
1111,"@cmdtemiliciab1 @NicolasMaduro Comuna o Nada !!!
Pueblo Unido jamás será vencido !!!
Operadora de RRSS del ADI 122 Urumaco"
1112,A ELLOS: 200 VECES DESDE EL 2017 EL BCV DÁNDOLE PLATA A FEDECAMARAS-ENTORNOS+MAFIAS LA ÚLTIMA SEM 50 MILLO $. A NOSOTROS: SE PIDE UN HIJO E´PUTA CRÉDITO O UN #BUSFIAO PA TRABAJAR Y COMER=SHAKIROS PAL PUEBLO LOS H E´P https://t.co/T7jHf7ngoM
1113,"RT @biblewords3: #ENTÉRATE📣| El #28Oct inicia el XV Festival Mundial de Poesía de Venezuela 🇻🇪 que reunirá a los 5 continentes en el grito libertario de #Carabobo a 199 años del poema: Mi Delirio Sobre el Chimborazo, del Libertador Simón Bolívar 

#23Oct https://t.co/u2i8SJuV3u"
1114,Ya tenía mentalizado que mañana iba saliendo para Churuguara 🤡
1115,"@Patrici12317769 @GabrielCoronad1 @jheferson13 @cmxcol @mtruzmanp Claro, universidades pioneras, la central, La universidad del Zulia, la universidad de los Andes, la universidad central Lisandro Alvarado, la fé Carabobo, que son las pioneras de la educación profesional en Venezuela"
1116,"OCTB 29-21 
Atentos 
SUBE el promedio del Dólar en Vzl a 4,61 Bs % 0.21
Fuentes Tasa Oficial BCV @DolarToday #Cucuta  
@Cotizaciones_ @Peso_Bs
#TasaPromedio #TasadelDia #Bitcoin #Paralelo sígueme en instagram #camarados https://t.co/ajVpJl8hRT  #RT https://t.co/PpDgDtemXK"
1117,"@13emisal @Nacional @CLUBRENTISTAS Ese racimo de jugadores que forman desde el punto penal, ayuda a los desmarques y dificulta al defensor. Para Rentistas la mejor opcion para defender ese tipo de centros es intentar anticipar con un jugador fijo en la zona del primer palo."
1118,"CDI 19 de Abril.Estado Bolívar .Celebrando la Jornada Camilo-Che desde nuestro puesto de trabajo dando continuidad al legado que nos dejo nuestro Comandante.
#CubaPorLaVida 
#CubaSalvaVidas 
#CubaCoopera https://t.co/rH8JGJLHP1"
